,Match (Closely related),Somewhat Matched,Not Related
Men,59.38838648262732,59.634160026933,54.60229246266065
Black,6.499286054259875,8.096734373246548,12.168577052217206
Hispanic,11.268443598286531,11.861743912018854,14.252634016440894
Married,65.82103760114232,62.344293569745254,54.49808961444946
Bachelor,45.32127558305569,62.36112669734036,76.94801435683686
Master,39.040932889100425,31.416227135001684,20.296399212689593
Doctorate,11.625416468348405,5.162159129166199,1.95669792752113
Professional,4.012375059495478,1.0604870384917517,0.798888502952414
Comp_Math_Sci,10.892432175154688,9.235776007182134,5.800625217089267
Bio_Agri_Life_Sci,12.256068538791052,10.616092469980924,11.41600092624754
Phys_Sci,6.213707758210376,5.083604533722365,4.0870672687275675
Social_Sci,16.232746311280344,20.732802154640332,32.464976264906795
Engineering,27.90337934316992,27.241611491415107,11.450735208984602
S_E_Related,11.32079961922894,6.823027718550106,7.247886997800163
Non_S_E,15.180866254164682,20.267085624509036,27.532708116244066
Research,34.904807234650164,37.52665245202559,34.15537802477712
Doctorate_Granting,10.713945740123751,11.57558074290203,11.670718999652657
Comprehensive,21.75392670157068,22.247783638199977,25.668634942688435
Liberal_Arts,9.059971442170395,9.465828750981933,11.439157114738913
Specialized,3.0152308424559733,3.922118729659971,3.658677781637142
US_Degree,81.63969538315088,87.74548311076198,89.84601134653236
Non_US_Degree,18.360304616849117,12.25451688923802,10.15398865346764
